key,year,description,source,link,colorFile,bwFile,alt
1,2008,Demonstrators pose at the 2008 Republican National Convention.,Library of Congress,https://www.loc.gov/item/2010719289/,photo1_color.jpg,photo1_bw.jpg,two women with a sign outside the Republican National Convention
2,1963,"Crowds cover the National Mall between the Washington Monument and the Lincoln Memorial during the civil rights March on Washignton in 1963 where Martin Luther King Jr. delivered his famous ""I Have a Dream"" speech.",Getty Images,https://www.gettyimages.com/detail/news-photo/overhead-view-of-the-massive-crowd-assembled-on-the-mall-in-news-photo/53456460?adppopup=true,photo2_color.jpg,photo2_bw.jpg,crowds on the National Mall between the Washington Monument and the Lincoln Memorial
3,1969,New York City welcomes the Apollo 11 crew in a ticker tape parade down Broadway and Park Avenue,NASA,https://flic.kr/p/cZZr1U,photo3_color.jpg,photo3_bw.jpg, parade down Broadway and Park Avenue in New York City
4,1990,"Vice President Dan Quayle, right, and other runners at the Race for the Cure run in 1990.",Library of Congress,https://www.loc.gov/item/2011632630/,photo4_color.jpg,photo4_bw.jpg,runners talk before a charity race
5,1940,"Workers harvest tobacco in Lexington, Kentucky.",Library of Congress,https://www.loc.gov/pictures/resource/fsac.1a34369/?co=fsac,photo5_color.jpg,photo5_bw.jpg,workers harvesting tobacco
6,1977,"A group of women sit poolside at Grossinger's Pool in Liberty, New York.",Library of Congress,https://www.loc.gov/item/2017712860/,photo6_color.jpg,photo6_bw.jpg,a group of women sit poolside
7,1976,"Rosa Parks at a ceremony renaming 12th Street ""Rosa Parks Boulevard"" in Detroit, Michigan",Library of Congress,https://www.loc.gov/item/2015649288/,photo7_color.jpg,photo7_bw.jpg,an elderly woman sitting
8,1987,"Kids play ball during the Puerto Rican Festival in Lowell, Massachusetts.",Library of Congress,https://www.loc.gov/resource/afc1987042.afc1987042_tr_c006/?sp=3,photo8_color.jpg,photo8_bw.jpg,kids playing baseball
9,1970,"Two boys climb around a crumbled building in Williamsburg, Brooklyn.",Library of Congress,https://www.loc.gov/resource/vrg.06377/,photo9_color.jpg,photo9_bw.jpg,two boys climb around a crumbling building
10,1946,Nobel Prize-winning physicist Albert Einstein gives a lecture at Lincoln University.,Lincoln University,https://twitter.com/LincolnUofPA/status/1258079841057996800?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed&ref_url=notion%3A%2F%2Fwww.notion.so%2Fthepudding%2FEditorial-Rundown-3a9234f337c34379840adbff5c5d998d%3Fp%3D27182e75e0184cf399f2a793a5d4bcc3,photo10_color.jpg,photo10_bw.jpg,a scientist gives a lecture to college students